,Ціна,"Локація (Місто, Район)",Поверх,Поверховість,Загальна площа,Площа кухні,Кількість кімнат,Меблювання,Ремонт,Домашні улюбленці,Автономність при блекауті
165,"15 000 грн.<span class=""css-1vxklie"">Договірна</span>","Львів, Сихівський - Сьогодні о 22:01",7,9,45 м²,17 м²,1 кімната,З меблями,,,
166,5 000 грн.,"Миколаїв, Iнгульський - Сьогодні о 22:01",6,9,40 м²,6 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,Працює опалення
167,7 400 грн.,"Дніпро, Соборний - Сьогодні о 21:57",2,9,26 м²,6 м²,1 кімната,З меблями,,,
168,24 347 грн.,"Львів, Шевченківський - Сьогодні о 21:55",7,10,76 м²,13.80 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
169,14 000 грн.,"Київ, Дніпровський - 06 липня 2024 р.",6,21,42 м²,16 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
170,"36 000 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Шевченківський - Сьогодні о 11:28",2,7,82 м²,10 м²,3 кімнати,З меблями,Євроремонт,,"Працює опалення, Працює ліфт, Працює водопопостачання, Підключене резервне живлення, Працює інтернет"
171,35 506 грн.,"Дніпро, Соборний - Сьогодні о 15:40",18,26,73 м²,30 м²,2 кімнати,З меблями,Авторський проект,,"Працює водопопостачання, Працює ліфт, Працює інтернет, Підключене резервне живлення"
172,"40 000 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Дарницький - Сьогодні о 21:59",22,2,200 м²,15 м²,5+ кімнат,З меблями,Авторський проект,"Так, маленький песик(до 10 кг) 🐕",Працює інтернет
173,2 000 грн.,"Кривий Ріг, Саксаганський - Сьогодні о 21:51",6,9,18 м²,4 м²,1 кімната,З меблями,Житловий стан,,
174,9 000 грн.,"Київ, Голосіївський - Сьогодні о 21:51",5,16,50 м²,19 м²,1 кімната,З меблями,,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, середній песик(до 25 кг) 🐩, Так, великий песик 🐶, Так, інша тваринка 🦕","Працює інтернет, Працює водопопостачання, Підключене резервне живлення"
175,20 289 грн.,"Одеса, Приморський - Сьогодні о 21:51",19,24,60 м²,15 м²,2 кімнати,З меблями,Євроремонт,,"Працює опалення, Працює ліфт, Підключене резервне живлення, Працює інтернет"
176,13 000 грн.,Рівне - Сьогодні о 21:50,8,10,46 м²,8 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
177,"4 500 грн.<span class=""css-1vxklie"">Договірна</span>","Кривий Ріг, Тернівський - Сьогодні о 21:56",4,5,67 м²,12 м²,3 кімнати,З меблями,,,
178,"7 800 грн.<span class=""css-1vxklie"">Договірна</span>",Боярка - Сьогодні о 21:58,2,5,30 м²,7 м²,1 кімната,З меблями,Житловий стан,,
179,10 000 грн.,"Київ, Оболонський - Сьогодні о 21:59",4,5,60 м²,9 м²,2 кімнати,,,Ні 🥺,"Працює опалення, Працює водопопостачання"
180,6 500 грн.,Інженерний - Сьогодні о 22:06,,,,,,,,,
181,15 000 грн.,Софіївська Борщагівка - Сьогодні о 22:07,7,10,58 м²,12 м²,2 кімнати,,Євроремонт,Ні 🥺,
182,"202 894 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Печерський - Сьогодні о 13:12",10,11,165 м²,28 м²,3 кімнати,З меблями,Євроремонт,Ні 🥺,
183,8 500 грн.,Івано-Франківськ - Сьогодні о 18:40,3,9,42 м²,12 м²,1 кімната,,Євроремонт,Ні 🥺,"Працює інтернет, Працює водопопостачання"
184,12 700 грн.,"Київ, Святошинський - 06 липня 2024 р.",8,25,44 м²,15 м²,1 кімната,З меблями,Євроремонт,,Працює ліфт
185,"16 500 грн.<span class=""css-1vxklie"">Договірна</span>","Львів, Шевченківський - Сьогодні о 21:53",12,13,41 м²,10 м²,1 кімната,З меблями,Євроремонт,,Працює водопопостачання
186,20 000 грн.,"Дніпро, Центральний - Сьогодні о 22:06",11,12,47 м²,15 м²,2 кімнати,З меблями,Євроремонт,,
187,6 000 грн.,"Харків, Салтівський - Сьогодні о 21:59",4,5,45 м²,6 м²,2 кімнати,З меблями,,,
188,24 000 грн.,"Дніпро, Центральний - Сьогодні о 22:04",10,18,60 м²,25 м²,2 кімнати,З меблями,Євроремонт,,
189,16 231 грн.,Хуст - Сьогодні о 21:56,3,3,140 м²,25 м²,5+ кімнат,З меблями,Євроремонт,,"Працює інтернет, Працює водопопостачання"
190,12 000 грн.,"Київ, Оболонський - Сьогодні о 21:55",7,9,53 м²,8 м²,2 кімнати,З меблями,Житловий стан,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸",
191,6 000 грн.,Чернівці - Сьогодні о 22:02,1,1,32 м²,10 м²,1 кімната,З меблями,Косметичний ремонт,,
192,6 000 грн.,Кам'янець-Подільський - Сьогодні о 22:02,3,3,48 м²,7 м²,2 кімнати,З меблями,Косметичний ремонт,,"Працює водопопостачання, Працює опалення"
193,"14 500 грн.<span class=""css-1vxklie"">Договірна</span>",Винники - Сьогодні о 21:55,7,7,80 м²,25 м²,2 кімнати,,Євроремонт,,
194,"17 000 грн.<span class=""css-1vxklie"">Договірна</span>","Дніпро, Центральний - Сьогодні о 21:50",3,5,58 м²,6 м²,3 кімнати,З меблями,Євроремонт,,
195,5 000 грн.,"Харків, Немишлянський - Сьогодні о 13:09",,,,,,,,,
196,8 000 грн.,"Одеса, Хаджибейський - 06 липня 2024 р.",7,19,36 м²,8 м²,1 кімната,З меблями,Євроремонт,,
197,10 000 грн.,Звягель - 06 липня 2024 р.,3,9,41 м²,1 м²,1 кімната,З меблями,,,
198,7 500 грн.,"Харків, Основ'янський - Сьогодні о 22:00",,,,,,,,,
199,"14 000 грн.<span class=""css-1vxklie"">Договірна</span>","Харків, Основ'янський - Сьогодні о 21:56",1,5,107 м²,8 м²,4 кімнати,З меблями,Євроремонт,,
200,43 859 грн.,"Київ, Дарницький - Сьогодні о 22:07",4,23,85 м²,20 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,Працює ліфт
201,11 500 грн.,Кам'янець-Подільський - Сьогодні о 21:56,10,10,56 м²,17 м²,2 кімнати,З меблями,Євроремонт,,
202,16 000 грн.,Ужгород - Сьогодні о 21:53,,,,,,,,,
203,101 447 грн.,"Київ, Шевченківський - Сьогодні о 22:07",5,7,100 м²,12 м²,3 кімнати,З меблями,Авторський проект,,
204,"3 500 грн.<span class=""css-1vxklie"">Договірна</span>","Харків, Київський - Сьогодні о 21:55",8,9,38 м²,8 м²,1 кімната,З меблями,Косметичний ремонт,,
205,101 447 грн.,"Київ, Шевченківський - Сьогодні о 22:04",12,17,175 м²,20 м²,4 кімнати,,Авторський проект,,
206,14 000 грн.,Луцьк - Сьогодні о 21:53,9,9,59 м²,7 м²,3 кімнати,З меблями,Авторський проект,Ні 🥺,"Працює опалення, Працює водопопостачання"
207,91 302 грн.,"Київ, Шевченківський - Сьогодні о 22:06",5,6,130 м²,12 м²,4 кімнати,З меблями,Авторський проект,,
208,28 000 грн.,"Київ, Печерський - Сьогодні о 18:20",2,4,45 м²,10 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
209,12 174 грн.,Чортків - Сьогодні о 06:54,2,4,40 м²,8 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
210,8 500 грн.,"Дніпро, Центральний - Сьогодні о 18:49",5,5,43 м²,8 м²,2 кімнати,З меблями,,"Так, середній песик(до 25 кг) 🐩, Так, маленький песик(до 10 кг) 🐕, Так, котик 😸","Працює інтернет, Працює опалення"
211,24 347 грн.,"Львів, Шевченківський - Сьогодні о 21:55",7,10,76 м²,13.80 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
212,2 000 грн.,"Кривий Ріг, Саксаганський - Сьогодні о 21:51",6,9,18 м²,4 м²,1 кімната,З меблями,Житловий стан,,
213,9 000 грн.,"Київ, Голосіївський - Сьогодні о 21:51",5,16,50 м²,19 м²,1 кімната,З меблями,,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, середній песик(до 25 кг) 🐩, Так, великий песик 🐶, Так, інша тваринка 🦕","Працює інтернет, Працює водопопостачання, Підключене резервне живлення"
214,20 289 грн.,"Одеса, Приморський - Сьогодні о 21:51",19,24,60 м²,15 м²,2 кімнати,З меблями,Євроремонт,,"Працює опалення, Працює ліфт, Підключене резервне живлення, Працює інтернет"
215,6 000 грн.,"Одеса, Київський - Сьогодні о 21:50",5,18,42 м²,10 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
216,4 000 грн.,"Одеса, Київський - Сьогодні о 21:49",7,9,37 м²,8 м²,1 кімната,З меблями,Житловий стан,,
217,13 000 грн.,Рівне - Сьогодні о 21:50,8,10,46 м²,8 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
218,17 000 грн.,"Львів, Шевченківський - Сьогодні о 21:46",6,10,47 м²,20 м²,1 кімната,З меблями,,,
219,2 500 грн.,"Запоріжжя, Заводський - Сьогодні о 21:44",1,2,20 м²,4 м²,1 кімната,З меблями,,,
